source_task_id,repo_task_id,epic_id,status,source_priority,source_phase,source_area,original_depends_on,converted_depends_on,unresolved_dependency_notes,acceptance_gate,source_title,source_lineage,active_disposition,canonical_task_refs
MP-PR012,TASK-0245,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR005;PR007,TASK-0238;TASK-0240,,"Six Stage04 outputs have created events, file URIs, provenance, receipt.",Schedule-control hardening,capex_v6,active_task,
MP-PR013,TASK-0246,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR006;PR007,TASK-0239;TASK-0240,,Command scopes include source truth/target partition/policy version; scaffold tests pass.,Handoff scaffold and command scopes,capex_v6,active_task,
MP-PR014,TASK-0247,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR013;PR005;PR006,TASK-0238;TASK-0239;TASK-0246,,Seven seed artifacts created once; no inmem authoritative seed; EdgeExecution validated.,Weekly seed materialization hardening,capex_v6,active_task,
MP-PR015,TASK-0248,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR014;PR013,TASK-0246;TASK-0247,,Republish-after-prep records stale policy state; no silent base-seed rebind or binding conflict.,Live dispatch prepare/activate hardening + republish guard,capex_v6,active_task,
MP-PR016,TASK-0249,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR013;PR014,TASK-0246;TASK-0247,,Late reporting guard passes; replace-on-conflict disabled in shared_env/default path.,Notify-only/reporting handoff guard,capex_v6,active_task,
MP-PR017,TASK-0250,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR015;PR016,TASK-0248;TASK-0249,,Future/same-week ambiguity removed; policy tests pass incl ISO rollover.,"Planning-cycle, republish, late-report policy objects",capex_v6,active_task,
MP-PR018,TASK-0251,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR017;PR006,TASK-0239;TASK-0250,,Carry-forward creates target once; no Stage04 auto-run/approval.,Weekly-to-weekly carry-forward,capex_v6,active_task,
MP-PR019,TASK-0252,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR014;PR016;PR017,TASK-0247;TASK-0249;TASK-0250,,Dry-run no mutation; reports findings.,Reconciler dry-run only,capex_v6,active_task,
MP-PR020,TASK-0253,EPIC-139,DONE,P0,P2 Logistics/domain production hardening,platform/readiness,PR019;PR010,TASK-0243;TASK-0252,,Root not /demo in shared_env; actor switching hidden; failure-state fixtures pass.,Operator home failure-state surface,capex_v6,active_task,
MP-PR021,TASK-0254,EPIC-138,TODO,P0,P10 Deployment/Logistics readiness,platform/readiness,PR009;PR011;PR020,TASK-0242;TASK-0244;TASK-0253,,Restore proof passes on lab; artifact download smoke passes.,Restore rehearsal automation,capex_v6,active_task,
MP-PR022,TASK-0255,EPIC-138,TODO,P0,P10 Deployment/Logistics readiness,platform/readiness,PR017;PR019;PR021;PD-01;PD-02;PD-05,TASK-0250;TASK-0252;TASK-0254,PD-01;PD-02;PD-05,Apply repairs missing seed once; cannot change officialness; role gate passes.,Reconciler apply mode under role/policy gate,capex_v6,active_task,
MP-PR023,TASK-0256,EPIC-138,TODO,P0,P10 Deployment/Logistics readiness,platform/readiness,PR001-PR021;PR022 optional if apply required,TASK-0234;TASK-0235;TASK-0236;TASK-0237;TASK-0238;TASK-0239;TASK-0240;TASK-0241;TASK-0242;TASK-0243;TASK-0244;TASK-0245;TASK-0246;TASK-0247;TASK-0248;TASK-0249;TASK-0250;TASK-0251;TASK-0252;TASK-0253;TASK-0254;TASK-0255,optional if apply required,Pilot gate checklist all green; manual approval recorded.,Pilot deployment gate,capex_v6,active_task,
CLEAN-001,TASK-0257,EPIC-139,DONE,P0,P2 Domain boundary,backend/platform-domain,PR003; repo Pass3,TASK-0236,repo Pass3,CLEAN-APPROVAL,Extract logistics side effects from generic approval.respond,capex_v6,active_task,
CLEAN-002,TASK-0258,EPIC-139,DONE,P0,P2 Domain boundary,frontend/backend domain boundary,CLEAN-001,TASK-0257,,domain registry smoke tests,Create domain workpage/action descriptor registry,capex_v6,active_task,
CLEAN-003,TASK-0259,EPIC-139,DONE,P1,P11 Docs/devflow,documentation,Pass3 doc register,,Pass3 doc register,documentation gate passes,Classify and restructure logistics docs,capex_v6,active_task,
CLEAN-004,TASK-0260,EPIC-139,DONE,P0,P2 Domain boundary,tests,repo Pass3,,repo Pass3,CI can run platform subset,Split platform tests from logistics regression tests,capex_v6,active_task,
PROJ-001,TASK-0261,EPIC-140,DONE,P0,P3 Project/access,data-model/backend,PR007; CLEAN-001,TASK-0240;TASK-0257,,AT-PROJ-001,Decide and implement CAPEX project anchor schema,capex_v6,active_task,
PROJ-002,TASK-0262,EPIC-140,DONE,P0,P3 Project/access,auth/backend,PROJ-001,TASK-0261,,AT-PROJ-002; AT-PROJ-003,Implement project_membership and project roles,capex_v6,active_task,
PROJ-003,TASK-0263,EPIC-140,DONE,P0,P3 Project/access,backend/API,PROJ-001; PROJ-002,TASK-0261;TASK-0262,,AT-PROJ-004; AT-SCALE-003,Project-scoped artifact/task/flag/approval/pointer APIs,capex_v6,active_task,
PROJ-004,TASK-0264,EPIC-140,DONE,P1,P8 Workpages,frontend,PROJ-002,TASK-0262,,AT-PROJ-005,Project selector/dashboard for max-five active projects per user,capex_v6,active_task,
PROJ-005,TASK-0265,EPIC-140,DONE,P0,P9 Officialness,backend/pointers,PROJ-001; PR005,TASK-0238;TASK-0261,,AT-OFFICIAL-004; NU-006,Project-scoped official pointer families,capex_v6,active_task,
INGEST-001,TASK-0266,EPIC-141,DONE,P0,P5 Corpus ingest,backend/ingest,PROJ-001; PR002; PR003,TASK-0235;TASK-0236;TASK-0261,,AT-SCALE-001; AT-SCALE-002,Design bulk/staged corpus ingest architecture,capex_v6,active_task,
INGEST-002,TASK-0267,EPIC-141,DONE,P0,P5 Corpus ingest,backend/ingest/artifacts,INGEST-001; PR005,TASK-0238;TASK-0266,,AT-K12-CORPUS-001,"Implement digest, dedupe and source inventory pipeline",capex_v6,active_task,
INGEST-003,TASK-0268,EPIC-141,DONE,P0,P5 Corpus ingest,backend/generated artifacts,INGEST-002,TASK-0267,,AT-BRIDGE-005,Implement source occurrence register,capex_v6,active_task,
INGEST-004,TASK-0269,EPIC-141,DONE,P0,P5/P7 Corpus baseline,workflow/generated artifacts,INGEST-003,TASK-0268,,AT-ROLE-001; AT-PACKET-001,Implement role assignment and packet register artifacts,capex_v6,active_task,
INGEST-005,TASK-0270,EPIC-141,DONE,P0,P5 Corpus ingest,document indexing,INGEST-002,TASK-0267,,AT-SCALE-004,Document manifest and extraction-state artifact,capex_v6,active_task,
INGEST-006,TASK-0271,EPIC-141,DONE,P0,P5 Corpus ingest,document indexing,INGEST-005,TASK-0270,,AT-EVIDENCE-001,Text extraction and page manifest contracts,capex_v6,active_task,
INGEST-007,TASK-0272,EPIC-141,DONE,P0,P5/P6 Corpus indexing,search/index/projection,INGEST-006,TASK-0271,,AT-SCALE-005,Chunk/search/evidence-binding index,capex_v6,active_task,
INGEST-008,TASK-0273,EPIC-141,DONE,P0,P5 Performance,backend/repository,PROJ-003,TASK-0263,,AT-SCALE-006,Batch artifact link/provenance hydration,capex_v6,active_task,
INGEST-009,TASK-0274,EPIC-141,DONE,P0,P5 Corpus ingest,workflow/runtime,PR003; PR006; INGEST-001,TASK-0236;TASK-0239;TASK-0266,,NU-011; AT-AI-RETRY-001,Async job runtime for document processing,capex_v6,active_task,
INGEST-010,TASK-0275,EPIC-148,TODO,P0,P10 Capacity/deployment,ops/storage,INGEST-005; PR009; PR021,TASK-0242;TASK-0254;TASK-0270,,BACKUP-RESTORE; AT-SCALE-010,"Storage quota, backup and restore gate",capex_v6,active_task,
ART-001,TASK-0276,EPIC-142,DONE,P0,P6 Generated artifacts,schemas/backend,PR005,TASK-0238,,IMP-004; V-002,Implement generated artifact envelope and canonical naming,capex_v6,active_task,
ART-002,TASK-0277,EPIC-151,DONE,P0,P6/P9 Risk,schemas/risk,ART-001,TASK-0276,,AT-CEO-001,Add ceo_transparency_snapshot schema and decision,capex_v6,active_task,
ART-003,TASK-0278,EPIC-142,DONE,P0,P6 Validation,validation,ART-001,TASK-0276,,V-002; V-003,Implement schema and bundle validators,capex_v6,active_task,
ART-004,TASK-0279,EPIC-142,TODO,P0,P6 Validation,validation,ART-003,TASK-0278,,NU-007,Implement meaningful source_refs/evidence_refs policy,capex_v6,active_task,
ART-005,TASK-0280,EPIC-142,TODO,P0,P9 Officialness,pointers/approval,PROJ-005; ART-003,TASK-0265;TASK-0278,,V-004; NU-006,Implement pointer promotion request and policy checks,capex_v6,active_task,
ART-006,TASK-0281,EPIC-142,TODO,P0,P9 Officialness,workflow/validation,ART-003; WFLOW-005,TASK-0278;TASK-0287,,WF-008; AT-002,Implement stale/reopen register and rules,capex_v6,active_task,
ART-007,TASK-0282,EPIC-144,TODO,P1,P8/P9 Workpages,tests/support,ART-003; WP-001,TASK-0278;TASK-0291,,VAL-005,Implement projection consistency test manifest,capex_v6,active_task,
WFLOW-001,TASK-0283,EPIC-143,DONE,P0,P7 Workflows,workflow,PROJ-001; ART-001,TASK-0261;TASK-0276,,AT-007; NU-001,Project Intake Router workflow,capex_v6,active_task,
WFLOW-002,TASK-0284,EPIC-143,DONE,P0,P7 Workflows,workflow,INGEST-004; ART-003,TASK-0269;TASK-0278,,AT-BRIDGE-005,Corpus Baseline workflow,capex_v6,active_task,
WFLOW-003,TASK-0285,EPIC-143,DONE,P1,P7 Workflows,workflow/navigation,WFLOW-002,TASK-0284,,NU-003,Lifecycle Stage State workflow,capex_v6,active_task,
WFLOW-004,TASK-0286,EPIC-143,DONE,P0,P7 Workflows,workflow/commitments,WFLOW-002,TASK-0284,,AT-002; AT-COMMIT-001,Governance / Commitment Chain workflow,capex_v6,active_task,
WFLOW-005,TASK-0287,EPIC-143,DONE,P0,P7 Workflows,workflow/assumptions,WFLOW-002; WFLOW-004,TASK-0284;TASK-0286,,AT-007; NEG-CLOSE-001,Assumption Closure workflow,capex_v6,active_task,
WFLOW-006,TASK-0288,EPIC-143,DONE,P0,P7 Workflows,workflow/interfaces,WFLOW-002; WFLOW-005,TASK-0284;TASK-0287,,AT-INTERFACE-001,Owner Interface Resolution workflow,capex_v6,active_task,
WFLOW-007,TASK-0289,EPIC-143,DONE,P0,P7/P9 Synthesis,workflow/snapshot,WFLOW-003;WFLOW-004;WFLOW-005;WFLOW-006,TASK-0285;TASK-0286;TASK-0287;TASK-0288,,AT-001; AT-010,Project State Snapshot workflow,capex_v6,active_task,
WFLOW-008,TASK-0290,EPIC-151,DONE,P0,P9 Risk,workflow/risk,WFLOW-007; ART-002,TASK-0277;TASK-0289,,AT-BRIDGE-008; NU-010,Risk and CEO Transparency workflow,capex_v6,active_task,
WP-001,TASK-0291,EPIC-144,TODO,P0,P8 Workpages,frontend,PROJ-004,TASK-0264,,AT-PROJ-005,CAPEX project dashboard and shell,capex_v6,active_task,
WP-002,TASK-0292,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,WFLOW-001,TASK-0283,,WPAGE-001,Project Intake workpage,capex_v6,active_task,
WP-003,TASK-0293,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,WFLOW-002; INGEST-008,TASK-0273;TASK-0284,,WPAGE-002,Corpus Baseline / Packet Review workpage,capex_v6,active_task,
WP-004,TASK-0294,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,WFLOW-004,TASK-0286,,WPAGE-003,Commitment Chain workpage,capex_v6,active_task,
WP-005,TASK-0295,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,WFLOW-005,TASK-0287,,WPAGE-004,Assumption Closure workpage,capex_v6,active_task,
WP-006,TASK-0296,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,WFLOW-006,TASK-0288,,WPAGE-005,Interface Resolution workpage,capex_v6,active_task,
WP-007,TASK-0297,EPIC-144,TODO,P0,P8 Workpages,frontend/workpage,ART-006; WFLOW-005,TASK-0281;TASK-0287,,WPAGE-006,Flags / Tasks / Review Queue workpage,capex_v6,active_task,
WP-008,TASK-0298,EPIC-144,TODO,P0,P9 Officialness,frontend/workpage,ART-005,TASK-0280,,WPAGE-007,Pointer Promotion workpage,capex_v6,active_task,
WP-009,TASK-0299,EPIC-144,DONE,P0,P9 Risk,frontend/workpage,WFLOW-008,TASK-0290,,AT-CEO-001,Risk / Stale / CEO Cockpit,capex_v6,active_task,
K12-001,TASK-0300,EPIC-145,TODO,P0,P4 K12 fixture,data governance,DATA-00; PR002,TASK-0235,DATA-00,DATA-00; AT-K12-DATA-001,Raw K12 quarantine and sensitivity manifest,capex_v6,active_task,
K12-002,TASK-0301,EPIC-145,TODO,P0,P4 K12 fixture,fixture/test,K12-001,TASK-0300,,DATA-01,Sanitized K12 fixture extraction,capex_v6,active_task,
K12-003,TASK-0302,EPIC-145,TODO,P0,P4 K12 fixture,fixture/test,K12-002; WFLOW-002,TASK-0284;TASK-0301,,AT-K12-CORPUS-001..,K12 expected-output manifest,capex_v6,active_task,
K12-004,TASK-0303,EPIC-145,TODO,P0,P4/P7 K12 fixture,demo/test,K12-003; WFLOW-001,TASK-0283;TASK-0302,,NU-001; NU-002,K12 mid-project import demo script,capex_v6,active_task,
TEST-001,TASK-0304,EPIC-149,TODO,P0,P11 Testing,testing,Pass3 accepted,,Pass3 accepted,Master acceptance matrix complete,Consolidated acceptance matrix implementation mapping,capex_v6,active_task,
TEST-002,TASK-0305,EPIC-149,TODO,P0,P9 Validation,testing,ART-003; WFLOW-005,TASK-0278;TASK-0287,,NU-015,No-false-closure negative test suite,capex_v6,active_task,
TEST-003,TASK-0306,EPIC-148,TODO,P0,P10 Capacity,testing/performance,INGEST-008,TASK-0273,,AT-SCALE-007..010,Scale benchmark harness and CI/manual gates,capex_v6,active_task,
TEST-004,TASK-0307,EPIC-149,TODO,P0,P8/P9 Testing,testing,WP-003; ART-007,TASK-0282;TASK-0293,,VAL-005,Projection consistency and no-hidden-truth tests,capex_v6,active_task,
DOC-001,TASK-0308,EPIC-150,TODO,P0,P11 Docs/devflow,documentation,Pass3 accepted,,Pass3 accepted,docs gate,Restructure documentation tree,capex_v6,active_task,
DOC-002,TASK-0309,EPIC-150,TODO,P0,P11 Docs/devflow,process,DOC-001,TASK-0308,,task gate,Development flow and task template adoption,capex_v6,active_task,
DOC-003,TASK-0310,EPIC-150,TODO,P0,P11 Docs/devflow,process,DOC-002,TASK-0309,,review gate,Code review and refactor gate adoption,capex_v6,active_task,
DEPLOY-001,TASK-0311,EPIC-138,TODO,P0,P10 Deployment,ops,TEST-003; INGEST-010,TASK-0275;TASK-0306,,ROD-002,Storage/DB decision before controlled pilot,capex_v6,active_task,
DEPLOY-002,TASK-0312,EPIC-138,TODO,P0,P10 Deployment,ops,PR023; DEPLOY-001,TASK-0256;TASK-0311,,PG-01..PG-12,Pilot readiness and rollback gate,capex_v6,active_task,
SAFE-001,TASK-0313,EPIC-145,TODO,P0,Safety pass,data governance/testing,user uploads K12 raw project,,user uploads K12 raw project,before committing K12 fixture,Safety Pass A: raw K12 verification and sanitization QA,capex_v6,active_task,
SAFE-002,TASK-0314,EPIC-150,TODO,P0,Safety pass,planning/branching,user provides deployment roadmap/current branch policy,,user provides deployment roadmap/current branch policy,before CAPEX runtime branch,Safety Pass B: deployment roadmap/branch collision review,capex_v6,active_task,
SPB2-T001,TASK-0315,EPIC-145,TODO,P0,source_freeze_and_data_governance,data_governance/corpus_ingest/k3_shadow,PR000 rebaseline,TASK-0233,rebaseline,No raw real-project artifact is stored in repo/CI/release/log/package; policy exists and is referenced by fixture tasks.,Generalize fixture governance from K12-only to all real project corpora,capex_v6,active_task,
SPB2-T002,TASK-0316,EPIC-145,TODO,P0,corpus_ingest_foundation,data_governance/corpus_ingest/k3_shadow,project_id/project_corpus design,,project_id/project_corpus design,Corpus baseline refuses extraction/promotion until each source occurrence has triage_state_initial.,Implement source triage state model,capex_v6,active_task,
SPB2-T003,TASK-0317,EPIC-145,TODO,P1,corpus_ingest_foundation,data_governance/corpus_ingest/k3_shadow,bulk/staged ingest design,,bulk/staged ingest design,K3 split archive and synthetic nested archive fixture pass metadata-only profiling without extraction into repo.,Add split/nested archive handling with provenance,capex_v6,active_task,
SPB2-T004,TASK-0318,EPIC-145,TODO,P1,corpus_ingest_foundation,data_governance/corpus_ingest/k3_shadow,source occurrence register,,source occurrence register,"Shortcut fixture creates unresolved reference or ignored reference, never raw target ingestion.",Add shortcut reference policy,capex_v6,active_task,
SPB2-T005,TASK-0319,EPIC-145,TODO,P1,schemas_and_contracts,data_governance/corpus_ingest/k3_shadow,schema catalog update,,schema catalog update,Catalog reflects contracts without adding full K3 module to MVP critical path.,Reserve K3 authority/lifecycle module contracts,capex_v6,active_task,
SPB2-T006,TASK-0320,EPIC-145,TODO,P1,fixture_program,data_governance/corpus_ingest/k3_shadow,real-project corpus quarantine policy,,real-project corpus quarantine policy,K3 is listed as shadow/reference; no raw K3 content in repo/CI.,Create K3 shadow-regression plan,capex_v6,active_task,
SPB2-T007,TASK-0321,EPIC-145,TODO,P0,acceptance_tests,data_governance/corpus_ingest/k3_shadow,K3 mini-fixture expected-output catalog,,K3 mini-fixture expected-output catalog,Guardrail tests fail if these artifacts self-close project state.,Add K3 negative guardrail tests,capex_v6,active_task,
SAFE-B3-001,TASK-0322,EPIC-145,TODO,P0,post_research_safety,architecture_governance,open-source research result packs,,open-source research result packs,SPB3-G001,Run post-research formalism regression before adopting external architecture patterns,capex_v6,active_task,
SAFE-C-001,TASK-0323,EPIC-138,TODO,P0,branch_deployment_safety,deployment/branching,deployment roadmap; branch policy; PR008-PR023 plan,TASK-0241;TASK-0242;TASK-0243;TASK-0244;TASK-0245;TASK-0246;TASK-0247;TASK-0248;TASK-0249;TASK-0250;TASK-0251;TASK-0252;TASK-0253;TASK-0254;TASK-0255;TASK-0256,deployment roadmap; branch policy; plan,SPC-G001,Run full deployment and branch collision review when roadmap is supplied,capex_v6,active_task,
SAFE-D-001,TASK-0324,EPIC-148,TODO,P0,capacity_pilot_safety,capacity/storage/restore,sanitized fixture; selected storage/index backend; deployed test environment,,sanitized fixture; selected storage/index backend; deployed test environment,SPD-G001;SPD-G002,"Run full real-corpus capacity, backup, and restore rehearsal before pilot readiness",capex_v6,active_task,
QD-001,TASK-0325,EPIC-149,TODO,P0,P0,docs/devex,current master plan,,current master plan,QG-00;QG-08,Install conservative PR/task templates,capex_v6,active_task,
QD-002,TASK-0326,EPIC-149,TODO,P0,P0,process/code review,current master plan,,current master plan,QG-07,Define review tiers and specialist map,capex_v6,active_task,
QD-003,TASK-0327,EPIC-149,TODO,P0,P0,docs/code review,current master plan,,current master plan,QG-08,Add code review policy to master docs,capex_v6,active_task,
QD-004,TASK-0328,EPIC-149,TODO,P0,P0,docs/refactor,current master plan,,current master plan,QG-06,Add refactor policy to master docs,capex_v6,active_task,
QD-005,TASK-0329,EPIC-149,TODO,P1,P1,tooling,current master plan,,current master plan,QG-00,Add PR-size and scope check script as advisory,capex_v6,active_task,
QD-006,TASK-0330,EPIC-149,TODO,P1,P1,tooling,current master plan,,current master plan,QG-03;QG-09,Add architecture boundary forbidden-pattern checks,capex_v6,active_task,
QD-007,TASK-0331,EPIC-149,TODO,P1,P1,metrics,current master plan,,current master plan,QG-12,Create review metrics register,capex_v6,active_task,
QD-008,TASK-0332,EPIC-149,TODO,P1,P1,process,current master plan,,current master plan,QG-12,Create phase closeout template,capex_v6,active_task,
QD-P2-A,TASK-0333,EPIC-149,TODO,P0,P2,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P2 phase preflight quality review,capex_v6,active_task,
QD-P2-B,TASK-0334,EPIC-149,TODO,P0,P2,refactoring,P2 implementation slices,,P2 implementation slices,QG-06;QG-12,P2 stabilization/refactor pass,capex_v6,active_task,
QD-P2-C,TASK-0335,EPIC-149,TODO,P0,P2,quality gates,P2 gates,,P2 gates,QG-08;QG-11;QG-12,P2 phase closeout evidence,capex_v6,active_task,
QD-P3-A,TASK-0336,EPIC-149,TODO,P0,P3,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P3 phase preflight quality review,capex_v6,active_task,
QD-P3-B,TASK-0337,EPIC-149,TODO,P0,P3,refactoring,P3 implementation slices,,P3 implementation slices,QG-06;QG-12,P3 stabilization/refactor pass,capex_v6,active_task,
QD-P3-C,TASK-0338,EPIC-149,TODO,P0,P3,quality gates,P3 gates,,P3 gates,QG-08;QG-11;QG-12,P3 phase closeout evidence,capex_v6,active_task,
QD-P4-A,TASK-0339,EPIC-149,TODO,P0,P4,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P4 phase preflight quality review,capex_v6,active_task,
QD-P4-B,TASK-0340,EPIC-149,TODO,P1,P4,refactoring,P4 implementation slices,,P4 implementation slices,QG-06;QG-12,P4 stabilization/refactor pass,capex_v6,active_task,
QD-P4-C,TASK-0341,EPIC-149,TODO,P0,P4,quality gates,P4 gates,,P4 gates,QG-08;QG-11;QG-12,P4 phase closeout evidence,capex_v6,active_task,
QD-P4A-A,TASK-0342,EPIC-149,TODO,P1,P4A,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P4A phase preflight quality review,capex_v6,active_task,
QD-P4A-B,TASK-0343,EPIC-149,TODO,P1,P4A,refactoring,P4A implementation slices,,P4A implementation slices,QG-06;QG-12,P4A stabilization/refactor pass,capex_v6,active_task,
QD-P4A-C,TASK-0344,EPIC-149,TODO,P1,P4A,quality gates,P4A gates,,P4A gates,QG-08;QG-11;QG-12,P4A phase closeout evidence,capex_v6,active_task,
QD-P5-A,TASK-0345,EPIC-149,TODO,P0,P5,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P5 phase preflight quality review,capex_v6,active_task,
QD-P5-B,TASK-0346,EPIC-149,TODO,P0,P5,refactoring,P5 implementation slices,,P5 implementation slices,QG-06;QG-12,P5 stabilization/refactor pass,capex_v6,active_task,
QD-P5-C,TASK-0347,EPIC-149,TODO,P0,P5,quality gates,P5 gates,,P5 gates,QG-08;QG-11;QG-12,P5 phase closeout evidence,capex_v6,active_task,
QD-P6-A,TASK-0348,EPIC-149,TODO,P0,P6,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P6 phase preflight quality review,capex_v6,active_task,
QD-P6-B,TASK-0349,EPIC-149,TODO,P0,P6,refactoring,P6 implementation slices,,P6 implementation slices,QG-06;QG-12,P6 stabilization/refactor pass,capex_v6,active_task,
QD-P6-C,TASK-0350,EPIC-149,TODO,P0,P6,quality gates,P6 gates,,P6 gates,QG-08;QG-11;QG-12,P6 phase closeout evidence,capex_v6,active_task,
QD-P7-A,TASK-0351,EPIC-149,TODO,P1,P7,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P7 phase preflight quality review,capex_v6,active_task,
QD-P7-B,TASK-0352,EPIC-149,TODO,P1,P7,refactoring,P7 implementation slices,,P7 implementation slices,QG-06;QG-12,P7 stabilization/refactor pass,capex_v6,active_task,
QD-P7-C,TASK-0353,EPIC-149,TODO,P0,P7,quality gates,P7 gates,,P7 gates,QG-08;QG-11;QG-12,P7 phase closeout evidence,capex_v6,active_task,
QD-P8-A,TASK-0354,EPIC-149,TODO,P1,P8,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P8 phase preflight quality review,capex_v6,active_task,
QD-P8-B,TASK-0355,EPIC-149,TODO,P0,P8,refactoring,P8 implementation slices,,P8 implementation slices,QG-06;QG-12,P8 stabilization/refactor pass,capex_v6,active_task,
QD-P8-C,TASK-0356,EPIC-149,TODO,P0,P8,quality gates,P8 gates,,P8 gates,QG-08;QG-11;QG-12,P8 phase closeout evidence,capex_v6,active_task,
QD-P9-A,TASK-0357,EPIC-149,TODO,P1,P9,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P9 phase preflight quality review,capex_v6,active_task,
QD-P9-B,TASK-0358,EPIC-149,TODO,P0,P9,refactoring,P9 implementation slices,,P9 implementation slices,QG-06;QG-12,P9 stabilization/refactor pass,capex_v6,active_task,
QD-P9-C,TASK-0359,EPIC-149,TODO,P0,P9,quality gates,P9 gates,,P9 gates,QG-08;QG-11;QG-12,P9 phase closeout evidence,capex_v6,active_task,
QD-P10-A,TASK-0360,EPIC-149,TODO,P1,P10,phase quality,prior phase closeout,,prior phase closeout,QG-00;QG-01;QG-02,P10 phase preflight quality review,capex_v6,active_task,
