record_type,source_id,name,category,phase,depends_on,status_or_priority,summary,evidence_or_owner,source_lineage,active_disposition,canonical_task_refs
gate,QG-02,Test-first or test-gap declared,engineering quality,All / phase-specific,current phase gate,P1,"Relevant tests added before/with implementation, or documented test-gap task created.",Tier 2+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-03,Source-of-truth invariant review,engineering quality,All / phase-specific,current phase gate,P0,Checklist confirms evidence/review/approval/officialness separation.,CAPEX runtime; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-04,Project access review,engineering quality,All / phase-specific,current phase gate,P0,Non-member access fails server-side before artifact/blob read.,project/corpus/API; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-05,Scale query review,engineering quality,All / phase-specific,current phase gate,P0,Pagination and batch hydration reviewed; no full-corpus load.,corpus/workpage/API; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-06,Refactor separation review,engineering quality,All / phase-specific,current phase gate,P1,Pure refactor separated unless local/tiny/justified.,all PRs; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-07,Specialist approval,engineering quality,All / phase-specific,current phase gate,P0,Required specialists approved by scope.,Tier 3+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-08,Docs/catalog update,engineering quality,All / phase-specific,current phase gate,P1,"Relevant docs, schema catalog, runbooks, ADRs updated.",Tier 2+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-09,Raw-data leakage check,engineering quality,All / phase-specific,current phase gate,P0,No raw real-project data in repo/CI/logs/docs.,fixture/corpus; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-10,Rollback/recovery note,engineering quality,All / phase-specific,current phase gate,P1,Rollback or recovery path documented.,Tier 3+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-11,Post-merge verification,engineering quality,All / phase-specific,current phase gate,P1,Smoke/targeted checks run; task status updated.,Tier 2+; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,QG-12,Phase stabilization complete,engineering quality,All / phase-specific,current phase gate,P1,Critical refactors completed or accepted debt records created.,phase closeout; PR/task/phase evidence in QUALITY_OVERLAY templates,capex_v6,reference,
gate,ARCH-W1-GATE-001,capex_platform cannot import domains.*,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,capex_platform cannot import domains.*,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-002,domain.yaml validates under domain_manifest.schema.json,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,domain.yaml validates under domain_manifest.schema.json,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-003,generic approval.respond emits generic event only,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,generic approval.respond emits generic event only,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-004,capex_project is durable root and workflow_run is not project identity,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,capex_project is durable root and workflow_run is not project identity,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-005,project_membership and capex_project_authorization are separate,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,project_membership and capex_project_authorization are separate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-006,direct project_id on all project-scoped runtime rows,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,direct project_id on all project-scoped runtime rows,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-007,auth-before-download mediated by platform service,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,auth-before-download mediated by platform service,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-008,BlobRef/BlobReplica separated from ArtifactVersion,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,BlobRef/BlobReplica separated from ArtifactVersion,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-009,ArtifactPointer targets ArtifactVersion only,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,ArtifactPointer targets ArtifactVersion only,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W1-GATE-010,real-pilot storage gate resolved,architecture_sync/W1,P3/P4 Foundation,CED accepted,P0/P1,real-pilot storage gate resolved,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G01,Duplicate source upload creates two source occurrences linked to one content_identity.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Duplicate source upload creates two source occurrences linked to one content_identity.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G02,Deduplication creates relation/work-reuse decision and never deletes/suppresses a new occurrence.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Deduplication creates relation/work-reuse decision and never deletes/suppresses a new occurrence.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G03,Archive container and member occurrences preserve parent lineage and member path hash.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Archive container and member occurrences preserve parent lineage and member path hash.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G04,Derived OCR/preview/redacted/sanitized blob cannot be treated as original evidence.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Derived OCR/preview/redacted/sanitized blob cannot be treated as original evidence.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G05,Generated source occurrence register row count and snapshot digest match physical runtime rows.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P1,Generated source occurrence register row count and snapshot digest match physical runtime rows.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G06,Same command_id with same normalized input returns same CommandReceipt/result.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Same command_id with same normalized input returns same CommandReceipt/result.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G07,Same command_id with different normalized input is rejected as corrupted_idempotency.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Same command_id with different normalized input is rejected as corrupted_idempotency.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G08,Retry after partial failure does not create duplicate ArtifactVersion/HumanTask/Flag/Approval/Pointer/Event rows.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Retry after partial failure does not create duplicate ArtifactVersion/HumanTask/Flag/Approval/Pointer/Event rows.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G09,Late worker completion after expired/cancelled attempt is rejected and recorded.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Late worker completion after expired/cancelled attempt is rejected and recorded.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G10,Project concurrency slots prevent two live pointer promotions for same project/pointer family.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Project concurrency slots prevent two live pointer promotions for same project/pointer family.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G11,Pointer promotion with stale expected_generation is rejected with expected/actual details.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Pointer promotion with stale expected_generation is rejected with expected/actual details.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G12,Pointer promotion with stale basis/validation/approval/policy tuple is rejected without auto-rebase.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Pointer promotion with stale basis/validation/approval/policy tuple is rejected without auto-rebase.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G13,Direct DB/service mutation of ArtifactPointer outside PointerPromotionService is blocked by tests and review gates.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Direct DB/service mutation of ArtifactPointer outside PointerPromotionService is blocked by tests and review gates.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G14,Submitted generated artifact containing validation/status/relations/official fields is rejected.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Submitted generated artifact containing validation/status/relations/official fields is rejected.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G15,Unresolved or ACL-invalid sourceRef blocks provenance edge emission and bundle validity.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Unresolved or ACL-invalid sourceRef blocks provenance edge emission and bundle validity.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G16,"ValidationRun exposes vector items with layer, rule_id, severity, blocking_for, object_pointer.",architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,"ValidationRun exposes vector items with layer, rule_id, severity, blocking_for, object_pointer.","automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G17,Changing sourceRefs changes sourceRefsDigest/canonical identity or fails deterministic hash test.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,Changing sourceRefs changes sourceRefsDigest/canonical identity or fails deterministic hash test.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G18,Post-promotion projection/notification failure records outbox failure and does not rollback ArtifactPointer generation.,architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P1,Post-promotion projection/notification failure records outbox failure and does not rollback ArtifactPointer generation.,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G19,"Ingest success alone creates no reviewed, approved, promotable, or official state.",architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,"Ingest success alone creates no reviewed, approved, promotable, or official state.","automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W2-G20,"Wave 2 implementation PRs include review tier, tests, refactor note, docs/catalog update, and specialist review for source-of-truth paths.",architecture_sync/W2,P4/P5 Corpus and effects,CED accepted,P0,"Wave 2 implementation PRs include review tier, tests, refactor note, docs/catalog update, and specialist review for source-of-truth paths.","automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G001,Extraction run lineage,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Extraction run lineage,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G002,Extraction status gate,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Extraction status gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G003,Source occurrence locator redundancy,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Source occurrence locator redundancy,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G004,Table evidence locator,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Table evidence locator,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G005,No chunk evidence target,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,No chunk evidence target,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G006,Projection rebuild invariance,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Projection rebuild invariance,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G007,Chunker change lineage,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Chunker change lineage,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G008,Retrieval candidate separation,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Retrieval candidate separation,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G009,Fuzzy grounding review,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Fuzzy grounding review,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G010,Sanitized lineage gate,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,Sanitized lineage gate,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G011,Worker staging rollback,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P1,Worker staging rollback,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G012,Extraction QA visibility,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P1,Extraction QA visibility,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G013,SourceRef resolution,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P0,SourceRef resolution,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G014,Re-extraction staleness,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P1,Re-extraction staleness,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W3-G015,Format heterogeneity,architecture_sync/W3,P6 Extraction and evidence,CED accepted,P1,Format heterogeneity,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G01,approval_response_no_official_mutation,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,approval_response_no_official_mutation,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G02,generic_approval_side_effect_free,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,generic_approval_side_effect_free,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G03,waiver_scope_enforced,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,waiver_scope_enforced,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G04,waived_not_pass,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,waived_not_pass,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G05,policy_trace_persisted,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,policy_trace_persisted,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G06,eligible_not_closed,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,eligible_not_closed,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G07,workflow_completed_not_closed,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,workflow_completed_not_closed,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G08,closure_snapshot_immutable,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,closure_snapshot_immutable,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G09,force_close_residuals_visible,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,force_close_residuals_visible,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G10,stale_callback_rejected,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,stale_callback_rejected,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G11,reopen_precedence_deterministic,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,reopen_precedence_deterministic,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G12,child_work_not_false_completed,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,child_work_not_false_completed,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G13,commercial_not_technical_closure,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,commercial_not_technical_closure,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G14,handover_not_full_closure,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,handover_not_full_closure,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G15,workpage_stale_command_rejected,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,workpage_stale_command_rejected,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G16,reopen_actor_guarded,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,reopen_actor_guarded,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G17,waiver_expiry_reopens_or_recomputes,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,waiver_expiry_reopens_or_recomputes,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W4-G18,policy_input_redaction,architecture_sync/W4,P8 Governance and closure,CED accepted,P0/P1,policy_input_redaction,"automated test evidence, design decision link, and review approval",capex_v6,reference,
gate,ARCH-W5-G01,Projection snapshot and row schema exists and is rebuildable.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Projection snapshot and row schema exists and is rebuildable.,migration test + rebuild test,capex_v6,reference,
gate,ARCH-W5-G02,Projection worker cannot publish stale token.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Projection worker cannot publish stale token.,stale token crash/concurrency test,capex_v6,reference,
gate,ARCH-W5-G03,Workpage read API requires project scope.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Workpage read API requires project scope.,tenant/domain-wide query rejection test,capex_v6,reference,
gate,ARCH-W5-G04,Read API requires fieldset/preset and bounded limit.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Read API requires fieldset/preset and bounded limit.,unbounded field/payload test,capex_v6,reference,
gate,ARCH-W5-G05,"Signed cursor rejects tamper, expiry, query change, policy change, and projection change.",architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,"Signed cursor rejects tamper, expiry, query change, policy change, and projection change.",cursor codec test suite,capex_v6,reference,
gate,ARCH-W5-G06,Batch hydration is bounded and not N+1.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Batch hydration is bounded and not N+1.,query count test,capex_v6,reference,
gate,ARCH-W5-G07,Backend filters reads by project authorization.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Backend filters reads by project authorization.,denied/conditional role tests,capex_v6,reference,
gate,ARCH-W5-G08,"Workpage command envelope includes idempotency key, projection token, expected versions, target ref, and policy context.",architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,"Workpage command envelope includes idempotency key, projection token, expected versions, target ref, and policy context.",schema validation tests,capex_v6,reference,
gate,ARCH-W5-G09,Every command attempt emits CommandReceipt.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Every command attempt emits CommandReceipt.,accepted/denied/stale/failed tests,capex_v6,reference,
gate,ARCH-W5-G10,Policy-evaluated commands emit PolicyDecision.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Policy-evaluated commands emit PolicyDecision.,policy audit tests,capex_v6,reference,
gate,ARCH-W5-G11,Stale commands are rejected server-side.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Stale commands are rejected server-side.,stale projection/target/policy tests,capex_v6,reference,
gate,ARCH-W5-G12,Generic setStatus-like commands are prohibited.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Generic setStatus-like commands are prohibited.,architecture/lint test,capex_v6,reference,
gate,ARCH-W5-G13,Frontend stale-response guard prevents old responses overwriting new state.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Frontend stale-response guard prevents old responses overwriting new state.,provider tests,capex_v6,reference,
gate,ARCH-W5-G14,Query performance battery passes for first MVP workpage family.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Query performance battery passes for first MVP workpage family.,synthetic volume query tests,capex_v6,reference,
gate,ARCH-W5-G15,Counts/facets do not block first page.,architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,Counts/facets do not block first page.,query-plan tests,capex_v6,reference,
gate,ARCH-W5-G16,"Workpage family registry declares sources, commands, hydration refs, and tests.",architecture_sync/W5,P9 Workpages and projections,CED accepted,P0/P1,"Workpage family registry declares sources, commands, hydration refs, and tests.",registry validation,capex_v6,reference,
